timestamp, index, power.draw [W], utilization.gpu [%], temperature.gpu, clocks.current.sm [MHz], memory.used [MiB]
2026/09/19 23:36:32.612, 1, 257.29, 65, 60, 2842, 61161
2026/09/19 23:36:33.612, 0, 351.26, 59, 60, 2797, 62203
2026/09/19 23:36:33.612, 1, 356.45, 99, 64, 2775, 61161
2026/09/19 23:36:34.613, 0, 280.49, 70, 61, 2805, 62203
2026/09/19 23:36:34.613, 1, 246.82, 54, 61, 2842, 61161
2026/09/19 23:36:35.613, 0, 290.66, 79, 59, 2820, 62203
2026/09/19 23:36:35.613, 1, 280.33, 99, 64, 2790, 61161
2026/09/19 23:36:36.613, 0, 303.95, 74, 60, 2812, 62203
2026/09/19 23:36:36.613, 1, 272.76, 6, 60, 2760, 61161
2026/09/19 23:36:37.613, 0, 319.51, 99, 62, 2782, 62203
2026/09/19 23:36:37.613, 1, 269.40, 61, 60, 2812, 62185
2026/09/19 23:36:38.614, 0, 301.83, 99, 62, 2790, 62203
2026/09/19 23:36:38.614, 1, 283.39, 67, 63, 2850, 62185
2026/09/19 23:36:39.614, 0, 372.54, 87, 63, 2752, 62203
2026/09/19 23:36:39.614, 1, 357.84, 99, 64, 2767, 62185
2026/09/19 23:36:40.614, 0, 282.58, 99, 62, 2805, 62203
2026/09/19 23:36:40.614, 1, 272.04, 27, 59, 2797, 62185
2026/09/19 23:36:41.614, 0, 375.04, 92, 61, 2737, 62203
2026/09/19 23:36:41.615, 1, 327.50, 99, 65, 2775, 62185
2026/09/19 23:36:42.615, 0, 286.45, 82, 61, 2805, 62203
2026/09/19 23:36:42.615, 1, 278.89, 74, 61, 2850, 62185
2026/09/19 23:36:43.615, 0, 324.03, 65, 61, 2730, 63227
2026/09/19 23:36:43.615, 1, 239.83, 86, 63, 2850, 62185
