tick,wall_layer_loop_s,driver_request_to_reply_s,boots,eval_ms,boot_ms,norm_boot_ms,timer_sum_ms_NOT_A_WALL_CLOCK,recorder_ms,enc_pt_ms,pt_cache_calls,pt_cache_misses,gpu0_pool_used_gb,gpu0_pool_reserved_gb,gpu0_device_used_gb,gpu1_pool_used_gb,gpu1_pool_reserved_gb,gpu1_device_used_gb,lanes,generating_lanes,raw_top1_agree,pick_agree,relerr_rms_median,relerr_rms_p90,relerr_rms_max,bootstraps_recorded,max_overflow_in_tick,bootstraps_over_512_in_tick
114,175.408,188.0,529,118887,83522,44843,202411,3190,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0018925,0.004364,0.01972,481,479,0
115,175.79,188.0,529,119214,83595,44966,202810,3278,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.002406,0.005776,0.012628,481,475,0
116,175.397,188.0,529,118891,83566,44917,202457,3168,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,63,64,0.0019625,0.004561,0.008039,481,506,0
117,175.136,188.0,529,118553,83586,44933,202140,3235,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.002056,0.005222,0.00869,481,509,0
118,175.504,188.0,529,118926,83586,44915,202513,3245,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.001964,0.005384,0.026143,481,470,0
119,176.232,188.0,529,119657,83671,44939,203329,3274,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.002085,0.004307,0.006648,481,499,0
120,176.109,188.0,529,119535,83668,44941,203204,3288,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,63,64,0.0019425,0.004804,0.008905,481,495,0
121,176.214,188.0,529,119626,83734,45000,203362,3294,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.001715,0.004876,0.012045,481,499,0
122,175.509,188.0,529,118899,83595,44955,202495,3303,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,63,0.0019705,0.004797,0.009437,481,536,1
123,175.545,188.0,529,118972,83625,44924,202598,3265,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.002069,0.006181,0.015105,481,467,0
124,175.649,188.0,529,119123,83582,44892,202706,3216,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0025450000000000004,0.006079,0.019287,481,461,0
125,175.559,188.0,529,118971,83510,44931,202482,3220,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0020735,0.005058,0.013015,481,482,0
126,175.157,188.0,529,118697,83470,44903,202168,3114,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0022745,0.007244,0.009729,481,481,0
127,175.656,188.0,529,119119,83574,44906,202694,3206,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,63,64,0.0020039999999999997,0.00523,0.014255,481,478,0
128,175.96,188.0,529,119392,83625,44951,203018,3233,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0023165,0.005876,0.021019,481,487,0
129,176.313,188.0,529,119744,83573,44961,203318,3234,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0022805,0.00488,0.009934,481,480,0
130,175.446,188.0,529,118868,83580,44940,202449,3240,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.002441,0.00576,0.008488,481,497,0
131,175.317,188.0,529,118731,83628,44928,202360,3262,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0020134999999999997,0.005687,0.010336,481,482,0
132,176.041,188.0,529,119472,83705,44975,203178,3261,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.003027,0.006612,0.008802,481,476,0
