utc,pid,serve_dir,served,vmrss_kb,vmhwm_kb,rssanon_kb,mappings,gpu0_used_mib,gpu1_used_mib
17:49:03Z,204307,/root/demo/s37/serve_LONG/serve,45,179871788,179871788,179403604,1252,76539,75497
17:50:03Z,204307,/root/demo/s37/serve_LONG/serve,45,179871788,179871788,179403604,1252,76539,75497
17:51:03Z,204307,/root/demo/s37/serve_LONG/serve,46,179871788,179871788,179403604,1252,76539,75497
17:52:03Z,204307,/root/demo/s37/serve_LONG/serve,46,179871788,179871788,179403604,1252,76539,75497
17:53:03Z,204307,/root/demo/s37/serve_LONG/serve,46,179871788,179871788,179403604,1252,76539,75497
17:54:04Z,204307,/root/demo/s37/serve_LONG/serve,47,179871788,179871788,179403604,1252,76539,75497
17:55:04Z,204307,/root/demo/s37/serve_LONG/serve,47,179871788,179871788,179403604,1252,76539,75497
17:56:04Z,204307,/root/demo/s37/serve_LONG/serve,47,179871788,179871788,179403604,1252,76539,75497
17:57:04Z,204307,/root/demo/s37/serve_LONG/serve,48,179871788,179871788,179403604,1252,76539,75497
17:58:04Z,204307,/root/demo/s37/serve_LONG/serve,48,179871788,179871788,179403604,1252,76539,75497
17:59:04Z,204307,/root/demo/s37/serve_LONG/serve,48,179871788,179871788,179403604,1252,76539,75497
18:00:04Z,204307,/root/demo/s37/serve_LONG/serve,48,179871788,179871788,179403604,1252,76539,75497
18:01:04Z,204307,/root/demo/s37/serve_LONG/serve,49,179871788,179871788,179403604,1252,76539,75497
18:02:04Z,204307,/root/demo/s37/serve_LONG/serve,49,179871788,179871788,179403604,1252,76539,75497
18:03:04Z,204307,/root/demo/s37/serve_LONG/serve,49,179871788,179871788,179403604,1252,76539,75497
18:04:04Z,204307,/root/demo/s37/serve_LONG/serve,50,179871788,179871788,179403604,1252,76539,75497
18:05:04Z,204307,/root/demo/s37/serve_LONG/serve,50,179871788,179871788,179403604,1252,76539,75497
18:06:04Z,204307,/root/demo/s37/serve_LONG/serve,50,179871788,179871788,179403604,1252,76539,75497
18:07:04Z,204307,/root/demo/s37/serve_LONG/serve,51,179871788,179871788,179403604,1252,76539,75497
18:08:04Z,204307,/root/demo/s37/serve_LONG/serve,51,179871788,179871788,179403604,1252,76539,75497
18:09:04Z,204307,/root/demo/s37/serve_LONG/serve,51,179871788,179871788,179403604,1252,76539,75497
18:10:04Z,204307,/root/demo/s37/serve_LONG/serve,51,179871788,179871788,179403604,1252,76539,75497
18:11:05Z,204307,/root/demo/s37/serve_LONG/serve,52,179871788,179871788,179403604,1252,76539,75497
18:12:05Z,204307,/root/demo/s37/serve_LONG/serve,52,179871788,179871788,179403604,1252,76539,75497
18:13:05Z,204307,/root/demo/s37/serve_LONG/serve,52,179871788,179871788,179403604,1252,76539,75497
18:14:05Z,204307,/root/demo/s37/serve_LONG/serve,53,179871788,179871788,179403604,1252,76539,75497
18:15:05Z,204307,/root/demo/s37/serve_LONG/serve,53,179871788,179871788,179403604,1252,76539,75497
18:16:05Z,204307,/root/demo/s37/serve_LONG/serve,53,179871788,179871788,179403604,1252,76539,75497
18:17:05Z,204307,/root/demo/s37/serve_LONG/serve,54,179871788,179871788,179403604,1252,76539,75497
18:18:05Z,204307,/root/demo/s37/serve_LONG/serve,54,179871788,179871788,179403604,1252,76539,75497
18:19:05Z,204307,/root/demo/s37/serve_LONG/serve,54,179871788,179871788,179403604,1252,76539,75497
18:20:05Z,204307,/root/demo/s37/serve_LONG/serve,55,179871788,179871788,179403604,1252,76539,75497
18:21:05Z,204307,/root/demo/s37/serve_LONG/serve,55,179871788,179871788,179403604,1252,76539,75497
18:22:05Z,204307,/root/demo/s37/serve_LONG/serve,55,179871788,179871788,179403604,1252,76539,75497
18:23:05Z,204307,/root/demo/s37/serve_LONG/serve,55,179871788,179871788,179403604,1252,76539,75497
18:24:05Z,204307,/root/demo/s37/serve_LONG/serve,56,179871788,179871788,179403604,1252,76539,75497
18:25:05Z,204307,/root/demo/s37/serve_LONG/serve,56,179871788,179871788,179403604,1252,76539,75497
18:26:05Z,204307,/root/demo/s37/serve_LONG/serve,56,179871788,179871788,179403604,1252,76539,75497
18:27:05Z,204307,/root/demo/s37/serve_LONG/serve,57,179871788,179871788,179403604,1252,76539,75497
18:28:05Z,204307,/root/demo/s37/serve_LONG/serve,57,179871788,179871788,179403604,1252,76539,75497
18:29:06Z,204307,/root/demo/s37/serve_LONG/serve,57,179871788,179871788,179403604,1252,76539,75497
18:30:06Z,204307,/root/demo/s37/serve_LONG/serve,58,179871788,179871788,179403604,1252,76539,75497
18:31:06Z,204307,/root/demo/s37/serve_LONG/serve,58,179871788,179871788,179403604,1252,76539,75497
18:32:06Z,204307,/root/demo/s37/serve_LONG/serve,58,179871788,179871788,179403604,1252,76539,75497
18:33:06Z,204307,/root/demo/s37/serve_LONG/serve,59,179871788,179871788,179403604,1252,76539,75497
18:34:06Z,204307,/root/demo/s37/serve_LONG/serve,59,179871788,179871788,179403604,1252,76539,75497
18:35:06Z,204307,/root/demo/s37/serve_LONG/serve,59,179871788,179871788,179403604,1252,76539,75497
18:36:06Z,204307,/root/demo/s37/serve_LONG/serve,59,179871788,179871788,179403604,1252,76539,75497
18:37:06Z,204307,/root/demo/s37/serve_LONG/serve,60,179871788,179871788,179403604,1252,76539,75497
18:38:06Z,204307,/root/demo/s37/serve_LONG/serve,60,179871788,179871788,179403604,1252,76539,75497
18:39:06Z,204307,/root/demo/s37/serve_LONG/serve,60,179871788,179871788,179403604,1252,76539,75497
18:40:06Z,204307,/root/demo/s37/serve_LONG/serve,61,179871788,179871788,179403604,1252,76539,75497
18:41:06Z,204307,/root/demo/s37/serve_LONG/serve,61,179871788,179871788,179403604,1252,76539,75497
18:42:06Z,204307,/root/demo/s37/serve_LONG/serve,61,179871788,179871788,179403604,1252,76539,75497
18:43:06Z,204307,/root/demo/s37/serve_LONG/serve,62,179871788,179871788,179403604,1252,76539,75497
18:44:06Z,204307,/root/demo/s37/serve_LONG/serve,62,179871788,179871788,179403604,1252,76539,75497
18:45:06Z,204307,/root/demo/s37/serve_LONG/serve,62,179871788,179871788,179403604,1252,76539,75497
18:46:06Z,204307,/root/demo/s37/serve_LONG/serve,63,179871788,179871788,179403604,1252,76539,75497
18:47:07Z,204307,/root/demo/s37/serve_LONG/serve,63,179871788,179871788,179403604,1252,76539,75497
18:48:07Z,204307,/root/demo/s37/serve_LONG/serve,63,179871788,179871788,179403604,1252,76539,75497
18:49:07Z,204307,/root/demo/s37/serve_LONG/serve,64,179871788,179871788,179403604,1252,76539,75497
18:50:07Z,204307,/root/demo/s37/serve_LONG/serve,64,179871788,179871788,179403604,1252,76539,75497
18:51:07Z,204307,/root/demo/s37/serve_LONG/serve,64,179871788,179871788,179403604,1252,76539,75497
18:52:07Z,204307,/root/demo/s37/serve_LONG/serve,64,179871788,179871788,179403604,1252,76539,75497
18:53:07Z,204307,/root/demo/s37/serve_LONG/serve,65,179871788,179871788,179403604,1252,76539,75497
18:54:07Z,204307,/root/demo/s37/serve_LONG/serve,65,179871788,179871788,179403604,1252,76539,75497
18:55:07Z,204307,/root/demo/s37/serve_LONG/serve,65,179871788,179871788,179403604,1252,76539,75497
18:56:07Z,204307,/root/demo/s37/serve_LONG/serve,66,179871788,179871788,179403604,1252,76539,75497
18:57:07Z,204307,/root/demo/s37/serve_LONG/serve,66,179871788,179871788,179403604,1252,76539,75497
18:58:07Z,204307,/root/demo/s37/serve_LONG/serve,66,179871788,179871788,179403604,1252,76539,75497
18:59:07Z,204307,/root/demo/s37/serve_LONG/serve,67,179871788,179871788,179403604,1252,76539,75497
19:00:07Z,204307,/root/demo/s37/serve_LONG/serve,67,179871788,179871788,179403604,1252,76539,75497
19:01:07Z,204307,/root/demo/s37/serve_LONG/serve,67,179871788,179871788,179403604,1252,76539,75497
19:02:07Z,204307,/root/demo/s37/serve_LONG/serve,68,179871788,179871788,179403604,1252,76539,75497
19:03:07Z,204307,/root/demo/s37/serve_LONG/serve,68,179871788,179871788,179403604,1252,76539,75497
19:04:08Z,204307,/root/demo/s37/serve_LONG/serve,68,179871788,179871788,179403604,1252,76539,75497
